"Year","AHA.ID","Medicare.Provider.ID","Hospital.Name","Address.1.(physical)","City.Name.(physical)","State.(physical)","Zip.code.(physical)","Beginning.of.reporting.period","Days.open.during.reporting.period","End.of.reporting.period","Open.12.full.months.before.end.of.reporting.period","System.member","System.ID","System.Name","System.City","System.State","System.Zip","Total.hospital.beds","Admissions","Inpatient.Days","Surgical.operations.(inpatient)","Emergency.room.visits","Other.outpatient.visits.(non.ER)","Surgical.operations.(outpatient)","Total.outpatient.visits","Total.Medicaid.days","Total.Medicaid.discharges","Total.Medicare.days","Total.Medicare.discharges","Paid.on.capitated.basis","Paid.on.shared.risk.basis","Physicians.and.dentists.(FT)","Total.personnel.(FT)","Total.(NE)","Total.(TE)","Total.(TG)","Total.(TC)","Total.(TP)"
"2011","6030010","","Kwajalein Hospital","U S Army Kwajalein Atoll","Kwajalein Island","Marshall Islands","96960","",0,"","","Y","5999395","Department of the Army, Office of the Surgeon General","Falls Church","VA","22041",14,478,987,34,9759,85316,228,95075,0,0,0,0,"","",19,490,"","","","",""
"2011","6040001","400115","Wilma N. Vazquez Medical Center","KM 39 1/2 Road 2, Call Box 7001","Vega Baja","Puerto Rico","00694","",0,"","","","","","","","",110,4654,27689,765,9950,15585,1541,25535,5237,973,14183,2093,"","",2,344,"","","","",""
"2011","6040002","400098","Hospital San Francisco","371 Avenida De Diego","San Juan","Puerto Rico","00923-1711","",0,"","","","","","","","",150,6686,37943,1161,12321,19297,2342,31618,7177,1397,19436,3007,"","",3,469,"","","","",""
"2011","6040004","400120","Hospital Interamericano De Medicina Avanzada","Avenida Luis Munoz Marin","Caguas","Puerto Rico","00726","",0,"","","","","","","","",300,20860,104753,4551,41877,60357,6651,102234,22391,4717,50694,8856,"","",8,1508,"","","","",""
"2011","6040005","400079","Hospital Buen Samaritano","Carr #2 Km 141-1 Ave Severiano Cuevas","Aguadilla","Puerto Rico","00603","1/1/2011",365,"12/31/2011","Y","","","","","","",154,8300,40728,1721,27085,1626,1620,28711,727,195,3610,579,"0","100",0,529,"","","","","85"
"2011","6040006","400124","Cardiovascular Center of Puerto Rico and the Caribbean","Americo Miranda Centro Medico","San Juan","Puerto Rico","00936","",0,"","","Y","5990011","Puerto Rico Department of Health","San Juan","PR","00936",146,5382,44019,1151,4513,13898,2600,18411,15708,1331,15158,2239,"","",18,701,"","","","",""
"2011","6040007","400114","Hospital Manati Medical Center","Calle Hernandez, Carrion 668","Manati","Puerto Rico","00674","",0,"","","","","","","","",215,14950,75073,4646,22933,33053,6789,55986,16047,3381,36331,6347,"","",4,671,"","","","",""
"2011","6040008","400126","Hospital Metropolitano San German","Calle Javilla Al Costado Parque de Bombas","San German","Puerto Rico","00683","",0,"","","","","","","","",40,1054,7773,108,3274,8772,370,12046,462,96,5467,632,"","",1,127,"","","","",""
"2011","6040009","403025","HEALTHSOUTH Rehabilitation Hospital","University Hospital, 3rd Floor","San Juan","Puerto Rico","00923","",0,"","","Y","5990023","HEALTHSOUTH Corporation","Birmingham","AL","35243",32,921,8069,0,0,6221,0,6221,479,84,5676,552,"","",1,114,"","","","",""
"2011","6040011","400111","Hospital San Carlos Borromeo","550 Concepcion Vera Ayala","Moca","Puerto Rico","00676","1/1/2011",365,"12/31/2011","Y","","","","","","",106,4981,25203,1615,29863,4194,4194,34057,6722,1696,2624,418,"0","",0,370,"","","","","117"
"2011","6040012","400113","Hospital San Cristobal","506 Carr Road","Coto Laurel","Puerto Rico","00780","",0,"","","","","","","","",103,4704,24833,1280,27126,42487,2580,69613,4697,983,12720,2115,"","",3,351,"","","","",""
"2011","6040020","400087","Hospital Dr. Cayetano Coll Y Toste","129 San Luis Avenue","Arecibo","Puerto Rico","00612","",0,"","","","","","","","",188,10728,61086,1688,26130,40927,3402,67057,11554,2242,31290,4825,"","",4,610,"","","","",""
"2011","6040030","400117","Hospital Metropolitano Dr. Susoni","55 Nicomedes Rivera Street","Arecibo","Puerto Rico","00612","1/1/2011",365,"12/31/2011","Y","","","","","","",138,7310,36559,4675,27037,4180,1766,31217,11840,2455,17220,3305,"0","0",0,427,"110","0","31","0","141"
"2011","6040040","400026","Lafayette Hospital","Central Lafayette","Arroyo","Puerto Rico","00714","",0,"","","","","","","","",38,1537,6343,420,3486,9341,1438,12827,377,140,4462,922,"","",2,149,"","","","",""
"2011","6040050","400061","University Hospital","Nineyas 869 Rio Piedras","San Juan","Puerto Rico","00922","",0,"","","Y","5990011","Puerto Rico Department of Health","San Juan","PR","00936",262,11242,91485,3019,3660,12920,4772,16580,25039,2493,39926,4757,"","",24,819,"","","","",""
"2011","6040054","400032","Hospital Hermanos Melendez","Route 2, KM 11-7","Bayamon","Puerto Rico","00960","",0,"","","","","","","","",211,14672,71558,3526,18895,27233,5152,46128,15296,3318,34630,6229,"","",4,772,"","","","",""
"2011","6040055","400109","Hospital San Pablo","Calle Santa Cruz 70","Bayamon","Puerto Rico","00961-7020","",0,"","","","","","","","",410,18809,141260,8982,29018,41823,13125,70841,30194,4254,68362,7985,"","",8,1496,"","","","",""
"2011","6040070","400010","Castaner General Hospital","KM 64-2, Route 135","Castaner","Puerto Rico","00631","",0,"","","","","","","","",24,577,4315,65,2739,13481,490,16220,417,67,2757,342,"","",3,103,"","","","",""
"2011","6040080","400013","Hospital Menonita De Cayey","4 H Mendoza Street","Cayey","Puerto Rico","00736-3801","4/1/2010",365,"3/31/2011","Y","","","","","","",153,10281,50003,1592,0,73276,3743,73276,16134,3562,25329,4126,"","",20,927,"125","0","50","0","175"
"2011","6040090","400106","Hospital Metropolitan","1785 Carr 21","San Juan","Puerto Rico","00921-3399","",0,"","","","","","","","",122,5435,33734,843,11657,18258,1699,29915,6381,1136,17280,2444,"","",3,391,"","","","",""
"2011","6040110","400125","Hospital San Pablo Del Este","Avenida General Valero, 404","Fajardo","Puerto Rico","00738","",0,"","","","","","","","",136,8134,42121,1516,20592,32252,3055,52844,7967,1700,21576,3658,"","",3,453,"","","","",""
"2011","6040115","400102","Doctor's Center of Bayamon","Extension Hermanas Davila","Bayamon","Puerto Rico","00960","",0,"","","","","","","","",91,4621,23134,1098,15076,25161,2785,40237,1992,677,15765,2499,"","",2,318,"","","","",""
"2011","6040129","403026","HEALTHSOUTH Hospital of Manati","","","Puerto Rico","","",0,"","","Y","5990023","HEALTHSOUTH Corporation","Birmingham","AL","35243",40,974,7491,0,0,11118,0,11118,445,89,5269,584,"","",1,141,"","","","",""
"2011","6040135","400009","Hospital Santa Rosa","Veterans Avenue","Guayama","Puerto Rico","00784","7/1/2010",365,"6/30/2011","Y","","","","","","",86,3601,13046,1798,26743,21870,363,48613,0,0,1545,326,"","",4,165,"114","0","0","0","114"
"2011","6040145","400048","Hospital Episcopal San Lucas Guayama","Avenue Pedro Albesus","Guayama","Puerto Rico","00784","",0,"","","","","","","","",115,7779,37717,1779,10858,43325,4184,54183,8052,1354,18472,3724,"","",10,466,"","","","",""
"2011","6040155","400016","Auxilio Mutuo Hospital","Ponce De Leon Avenue","San Juan","Puerto Rico","00918-1000","",0,"","","","","","","","",483,22850,162494,3778,57966,268470,5575,326436,37971,4781,72846,9488,"","",48,2171,"","","","",""
"2011","6040157","400004","Hospital Del Maestro","550 Sergio Cuevas","San Juan","Puerto Rico","00918-3741","",0,"","","","","","","","",250,11254,71667,2794,23628,34054,4082,57682,15319,2545,34683,4778,"","",4,781,"","","","",""
"2011","6040160","400011","Hospital Oriente","300 Font Martelo Street","Humacao","Puerto Rico","00791-3230","1/1/2011",365,"12/31/2011","Y","","","","","","",71,3553,16482,709,13007,21707,1116,34714,7195,1699,1451,262,"","",2,227,"","","","","82"
"2011","6040165","400005","Hospital HMA de Humacao","3 Font Martelo Street","Humacao","Puerto Rico","00791-3342","",0,"","","","","","","","",64,3229,17930,538,14161,23633,1365,37794,1544,473,12219,1746,"","",2,298,"","","","",""
"2011","6040170","400007","Ryder Memorial Hospital","355 Font Martelo Street","Humacao","Puerto Rico","00791-3249","1/1/2011",365,"12/31/2011","Y","","","","","","",227,9024,54480,2402,42920,102415,1542,145335,11228,1694,29982,3752,"2","",5,926,"0","14","58","158","230"
"2011","6040175","400110","Hospital Metropolitano Dr. Tito Mattei","Carretera 128 KM 1","Yauco","Puerto Rico","00698","1/1/2011",365,"12/31/2011","Y","","","","","","",105,1271,36089,932,17294,27088,1879,44382,1570,506,2462,477,"","",0,318,"0","102","0","0","102"
"2011","6040192","400018","Mennonite General Hospital","Calle Jose C Vasquez","Aibonito","Puerto Rico","00705","",0,"","","","","","","","",131,7102,35296,1434,17742,70795,3371,88537,7535,1236,17287,3400,"","",11,495,"","","","",""
"2011","6040215","400123","Hospital Perea","15 Basora Street","Mayaguez","Puerto Rico","00681","",0,"","","Y","5999605","United Medical Corporation","Windermere","FL","34786-3548",103,6776,28200,1284,17496,27403,2588,44899,5334,1416,14445,3047,"","",3,370,"","","","",""
"2011","6040218","400024","Clinica Espanola","Barrio La Quinta","Mayaguez","Puerto Rico","00680","",0,"","","","","","","","",89,2772,21090,939,2313,3860,2381,6173,1816,406,14372,1499,"","",2,290,"","","","",""
"2011","6040220","400014","Bella Vista Hospital","State Road 349","Mayaguez","Puerto Rico","00680","",0,"","","","","","","","",157,7286,44662,1952,8293,33090,4589,41383,9535,1268,21874,3488,"","",14,665,"","","","",""
