"a_Name","City","State","Region","Profit_Status_","Year","Total_Revenue","Net_Income","Net_Patient_Revenue","Total_Operating_Expense","Operating_Income","Interest_Expense","Bad_Debt","Total_Assets","Total_Liabilities","Net_Assets_Equity","LongTerm_Liabilities","Current_Assets","Current_Liabilities","Net_Patient_Accounts_Receivable","Total_Operating_Revenue","Cash_and_Cash_Equivalents","Depreciation_and_Amortization","EBITDA_EBIDA","Audited_by"
"Abington Health (PA)","Abington","PA","Northeast","Not-For-Profit","2015","837425594","68123041","756118145","769302553","32510197","12942580","24452401","1578900842","675005173","903895669","528750114","887930337","146255059","89641121","801812750","135510442","46570324","92023101","PWC"
"Abington Health (PA)","Abington","PA","Northeast","Not-For-Profit","2014","791454401","17574144","742899052","773880257","102295","13217190","25477916","1514275611","667988523","846287088","550316239","794377148","117672284","90823155","773982552","63414455","44097640","57417125",""
"Abington Health (PA)","Abington","PA","Northeast","Not-For-Profit","2013","799483547","35928801","774153840","763554746","20618660","13779310","27219679","1410940454","646492632","764447822","540919459","697933368","105573173","89321480","784173406","68494900","39792746","74190716",""
"Abington Health (PA)","Abington","PA","Northeast","Not-For-Profit","2012","767213646","29739185","730477891","737474461","16363313","17443237","29437591","1290705927","691226375","599479552","591749966","596582322","99476409","97397239","753837774","","","",""
"Abington Health (PA)","Abington","PA","Northeast","Not-For-Profit","2011","795928949","29270733","729989111","766658216","16610792","17825082","28790258","1242969007","545218869","697750138","460100858","578140129","85118011","116547174","783269008","","","",""
"Acadia Healthcare Company, Inc. (TN)","Franklin","TN","South","For-Profit","2017","2836316000","199589000","2836316000","2599518000","236798000","176007000","40918000","6424502000","3829214000","2572871000","3451825000","471550000","377389000","296925000","2836316000","67290000","143010000","555815000",""
"Acadia Healthcare Company, Inc. (TN)","Franklin","TN","South","For-Profit","2016","2810914000","4176000","2810914000","2777959000","32955000","181325000","41909000","6024726000","3857002000","2167724000","3514137000","427927000","342865000","263327000","2810914000","57063000","135103000","349383000","Ernst & Young LLP"
"Acadia Healthcare Company, Inc. (TN)","Franklin","TN","South","For-Profit","2015","1794603000","111476000","1794492000","1629739000","164753000","106742000","35127000","4279208000","2596180000","1683028000","2305977000","294736000","290203000","216626000","1794492000","11215000","63550000","335045000","Ernst & Young LLP"
"Acadia Healthcare Company, Inc. (TN)","Franklin","TN","South","For-Profit","2014","1004409000","83040000","1004601000","878447000","126154000","48221000","26183000","2206955000","1325990000","880965000","1160056000","274143000","165934000","118378000","1004601000","94040000","32667000","207042000","Ernst & Young LLP"
"Acadia Healthcare Company, Inc. (TN)","Franklin","TN","South","For-Profit","2013","712717000","42579000","713408000","644163000","69245000","37250000","21701000","1224659000","743949000","480710000","629259000","145126000","114690000","95885000","713408000","4569000","17090000","123585000",""
"Acadia Healthcare Company, Inc. (TN)","Franklin","TN","South","For-Profit","2012","395035000","20403000","407461000","374632000","32829000","29769000","6389000","983413000","550863000","432550000","479012000","140981000","71851000","63870000","407461000","","","",""
"Acadia Healthcare Company, Inc. (TN)","Franklin","TN","South","For-Profit","2011","220072000","-34892000","216498000","254964000","-38466000","9191000","3206000","412996000","316631000","96365000","275963000","112605000","40668000","35127000","216498000","","","",""
