"Year","Total_Revenue","NPR","Scope"
"2017",2334494311.78088,1973600513.67458,"All HS"
"2017",5994841760.50521,5008022853.53438,"HMA"
"2017",7365151309.69583,6144965633.56058,"Top100"
"2017",7333852781.87706,6124083201.54512,"Top100VA"
"2017",8751250414.83046,7291261738.86524,"HMAinTop100"
"2018",2548575836.75992,2174796349.46379,"All HS"
"2018",6523223234.66675,5487079462.86782,"HMA"
"2018",8162943246.66701,6850533585.28935,"Top100"
"2018",8115549999.15786,6814797373.93314,"Top100VA"
"2018",9559861942.16629,8004837032.73688,"HMAinTop100"
