"Year","Total_Revenue","NPR","Scope"
"2017",1094877832225.23,925618640913.378,"All HS"
"2017",587494492529.511,490786239646.369,"HMA"
"2017",736515130969.583,614496563356.058,"Top100"
"2017",740719130969.583,618532403356.058,"Top100VA"
"2017",516323774474.997,430184442593.049,"HMAinTop100"
"2018",1195282067440.4,1019979487898.52,"All HS"
"2018",639275876997.342,537733787361.046,"HMA"
"2018",816294324666.701,685053358528.935,NA
"2018",819670549914.944,688294534767.247,"Top100VA"
"2018",564031854587.811,472285384931.476,"HMAinTop100"
