"Year","Total_Revenue","NPR","Scope"
"2017",1094877832225.23,925618640913.378,"All HS"
"2017",587494492529.511,490786239646.369,"HMA"
"2017",729866808729.583,622586806096.058,"NPR Top 100"
"2017",734070808729.583,626622646096.058,"NPR Top 100 VA"
"2017",521780513474.997,438978656593.049,"HMA in NPR Top 100"
"2018",1195282067440.4,1019979487898.52,"All HS"
"2018",639275876997.342,537733787361.046,"HMA"
"2018",806215927618.01,692933272990.469,"NPR Top 100"
"2018",809592152866.253,696174449228.782,"NPR Top 100 VA"
"2018",569054796625.619,481399910680.442,"HMA in NPR Top 100"
