"System_ID","Year","Total_hospital_beds","Admissions","Inpatient_Days","Surgical_operations_inpatient","Emergency_room_visits","Other_outpatient_visits_non_ER","Surgical_operations_outpatient","Total_outpatient_visits","Total_Medicaid_days","Total_Medicaid_discharges","Total_Medicare_days","Total_Medicare_discharges","Physicians_and_dentists_FT","Total_personnel_FT","Total_Physicians_NE","Total_Physicians_TE","Total_Physicians_TG","Total_Physicians_TC","Total_Physicians_TP","All_Physicians","Hospitals"
"227347687ma",2011,1210,71086,330400,25638,152643,1071188,34679,1223831,36989,8573,159788,32336,127,9704,1480,134,1040,2,2656,5439,5
"227347687ma",2012,1207,66025,302857,23578,150351,1079832,35717,1230183,39824,8410,144536,29113,163,9514,1162,181,1371,2,2619,5498,5
"227347687ma",2013,1191,61593,301658,19421,146092,1073351,36471,1219443,47371,9497,149410,28125,168,9591,1287,212,1219,206,2924,6016,5
"227347687ma",2014,1205,66923,357082,25095,164335,1145226,35867,1309561,49091,9591,157748,30367,154,9771,1312,252,1174,195,2933,6020,5
"227347687ma",2015,1263,70768,334582,25879,183953,1365027,39754,1548980,54246,10916,172252,33217,187,10483,1596,326,1235,184,3341,6869,6
"227347687ma",2016,1283,75442,364765,26457,207772,1433712,39360,1641484,62570,11728,174740,34924,216,11027,1551,242,1774,177,3744,7704,6
"229227347bc",2011,2499,118981,554394,25681,170541,732445,40721,902986,119776,23300,262634,52180,293,9876,0,0,0,0,0,293,8
"229227347bc",2012,2843,135946,660578,32291,504344,237579,47960,741923,126569,25714,333626,61432,3,10729,3764,296,544,0,4766,9373,8
"229227347bc",2013,2852,128111,640420,29910,467553,218046,53473,685599,127045,25251,329452,50798,3,9590,3773,295,520,0,4792,9383,8
"229227347bc",2014,2905,131937,621102,29559,491062,607159,37812,1098221,123983,26520,323952,63352,4,9094,2447,295,389,0,4616,7751,8
"229227347bc",2015,3213,161907,751947,35748,623768,771840,39285,1395608,144943,30628,404480,80432,169,14220,2284,282,403,86,4200,7424,9
"229227347bc",2016,3274,176408,799375,38124,665767,792955,39587,1458722,149565,31426,417536,85544,0,14635,3234,525,844,87,4900,9590,10
"5990001",2011,460,19067,77168,5317,87001,499609,12511,586610,12033,2776,45386,10267,22,2550,98,104,169,3,374,770,4
"5990001",2012,439,20222,75575,5019,82288,511731,16836,594019,8724,2952,45363,10642,18,2379,139,162,173,12,483,987,4
"5990001",2013,439,19829,77769,4599,111271,480949,14980,592220,13687,3422,43459,9921,47,2298,42,23,24,0,89,225,4
"5990001",2014,418,18335,74721,3894,109080,473691,14065,582771,13519,3234,42478,9380,37,2418,75,170,143,0,388,813,4
"5990001",2015,586,23434,93796,5170,105354,683162,25647,788516,17556,4869,54557,12040,59,3287,62,206,254,35,557,1173,5
"5990001",2016,670,26247,101113,6159,124991,754789,32323,879780,15531,4904,62973,14283,37,3639,57,168,269,31,525,1087,6
"5990002",2011,6333,210804,1263745,53783,1399574,4544771,156581,5944345,393828,47178,545247,106807,575,29427,2371,479,1821,244,5781,11271,88
"5990002",2012,4837,161122,925076,41859,1114309,4009259,127527,5123568,270664,34756,402359,79392,498,23481,2480,483,1810,306,5456,11033,73
"5990002",2013,4161,128750,760372,31844,932763,3639402,109388,4572165,212738,26929,329418,63946,504,20544,1605,454,1278,360,4458,8659,67
"5990002",2014,3970,118419,669136,28998,948363,3496954,98670,4445317,182461,24062,295785,61824,499,19703,1463,403,1619,305,3860,8149,66
"5990002",2015,3333,110709,543861,26032,924650,3454142,91004,4378792,131233,21679,275450,58145,516,18144,1166,463,1309,355,3293,7102,60
"5990002",2016,3204,107796,531552,25878,936584,3855178,91431,4791762,125636,21483,261247,55303,520,18708,1386,427,1447,250,3510,7540,58
"5990004",2011,767,29886,165115,5768,126707,263722,16483,390429,21937,4252,99546,16143,19,3897,355,17,0,0,372,763,7
"5990004",2012,751,30496,162192,5477,126176,263771,15438,389947,20990,4058,97383,16703,2,3873,375,0,0,0,375,752,7
"5990004",2013,781,29858,164263,5267,126266,250596,16552,376862,22185,4227,98218,16250,1,3942,388,0,0,0,387,776,7
"5990004",2014,728,28318,162324,5358,108660,248563,16817,357223,22307,4120,96719,15388,4,3849,363,0,0,0,363,730,5
"5990004",2015,734,29332,169010,5396,119890,235642,16895,355532,22885,4186,104178,16512,3,3948,354,0,0,0,354,711,5
"5990004",2016,919,39087,205728,8359,166026,300886,22690,466912,30566,5889,124248,21241,15,4682,324,0,0,0,324,663,7
"5990005",2011,1032,50204,238721,12738,231000,320710,32547,551710,40361,8130,94658,17861,11,5371,0,5,128,336,1857,2337,3
"5990005",2012,1032,50329,238831,12786,242026,350241,32737,592267,40877,8513,96891,18059,5,5545,967,236,495,372,2070,4145,3
"5990005",2013,1066,53323,245431,13176,257496,350606,31287,608102,45688,9517,99130,19035,7,5747,892,265,517,371,2045,4097,3
"5990005",2014,1037,55423,252428,12920,249841,422651,28780,672492,46948,9961,101710,20100,8,5098,882,304,433,340,1959,3926,2
"5990005",2015,1039,59316,280050,14209,252433,308865,28372,561298,57919,10993,118190,23149,10,5476,1041,383,438,315,2177,4364,2
"5990005",2016,1114,63974,298075,16063,285167,390467,31976,675634,64292,11698,129637,25099,11,5779,935,368,498,279,2080,4171,3
"5990008",2011,720,37673,187859,7947,136500,431356,12722,567856,45554,9850,98603,16614,9,3152,0,0,0,0,1124,1133,2
"5990008",2012,681,33149,158081,7638,141041,475117,11887,616158,38997,8923,81516,14795,6,2976,0,0,0,0,998,1004,2
"5990008",2013,623,31863,150567,6882,129436,508208,16795,637644,39215,8239,76977,14768,5,2967,0,0,0,0,927,932,2
"5990008",2014,595,29643,140300,7463,112208,525791,13865,637999,31935,6155,65284,13079,75,2987,0,0,0,0,0,75,2
"5990008",2015,552,26405,129960,5884,128786,388979,22299,517765,32687,7090,66850,11994,3,2728,0,0,0,0,1046,1049,2
"5990009",2011,6041,18159,2025398,11,0,252051,74,252051,0,0,0,0,307,13188,0,15,0,0,15,337,24
"5990009",2012,5830,16522,1956668,7,0,383563,47,383563,9058,820,7685,693,290,12817,0,15,0,0,14,319,22
"5990009",2013,5830,16774,1909340,4,0,190496,33,190496,8415,807,7314,667,287,13364,0,15,0,0,15,317,22
"5990009",2014,5717,20883,1852997,2,0,189009,23,189009,38167,2769,21863,1558,267,12177,0,9,0,0,9,285,22
"5990009",2015,5659,21151,1933955,2,0,256875,39,256875,42379,2950,21310,1591,295,12983,0,14,0,0,14,323,22
"5990009",2016,5748,21274,1900814,22,0,144099,27,144099,0,0,0,0,337,12600,2,49,0,11,62,461,23
"5990010",2011,1461,2800,497214,0,0,4311,0,4311,0,0,0,0,66,2983,0,37,0,11,48,162,3
"5990010",2012,1436,1999,510161,0,0,0,0,0,0,0,0,0,96,2776,0,38,0,11,49,194,3
"5990010",2013,1437,2399,499290,0,0,5505,0,5505,0,0,0,0,94,3584,0,72,1,26,99,292,3
"5990010",2014,1437,2579,486344,0,0,10030,0,10030,0,0,0,0,67,3430,0,38,0,11,49,165,3
"5990010",2015,1423,1852,461407,0,0,6040,0,6040,0,0,0,0,99,3890,0,36,0,11,47,193,3
"5990010",2016,1422,2275,458918,0,0,6352,0,6352,0,0,0,0,53,3185,0,0,0,0,0,53,3
"5990011",2011,655,23702,192979,7184,59503,130743,11857,190246,63542,6322,71331,9251,69,2526,73,5,26,0,104,277,4
"5990011",2012,655,22632,175880,8624,34476,117347,17068,151823,58783,5526,63403,9541,73,2799,0,0,0,0,0,73,4
"5990011",2013,654,23273,176534,7579,32379,120718,16955,153097,61161,5786,66227,10081,93,2799,0,0,0,0,0,93,4
"5990011",2014,654,23931,182632,7386,31940,121238,17783,153178,64157,5719,70744,10701,78,2669,0,0,0,0,0,78,4
"5990011",2015,620,21275,157673,7537,51006,155813,19961,206819,53385,5315,62343,9592,61,2457,0,0,0,0,44,105,4
"5990011",2016,605,18849,142868,6715,41510,137196,16275,178706,42551,4782,63253,8981,60,2359,0,0,0,0,175,235,4
"5990012",2011,2718,9515,915988,74,4599,83419,261,88018,0,0,0,0,88,7023,0,29,1,4,34,156,10
"5990012",2012,2764,9269,910854,46,3728,127443,213,131171,19640,1337,11802,557,96,6943,0,42,10,5,57,210,10
"5990012",2013,2764,15254,925883,43,7837,231193,184,239030,59190,3839,28389,1793,104,7023,0,21,0,4,28,157,10
"5990012",2014,2675,14090,903316,67,8576,148045,200,156621,87847,3805,29748,1928,85,6583,0,14,0,0,14,113,10
"5990012",2015,2612,4706,898488,18,1505,16085,63,17590,10543,92,757,79,86,7054,0,32,0,0,32,150,10
"5990012",2016,2612,10380,831645,52,9767,124136,590,133903,377439,274,1663,129,85,6761,0,37,0,0,37,159,11
"5990013",2011,327,1580,107192,1,0,21323,8,21323,0,0,0,0,16,792,0,0,0,0,0,16,3
"5990013",2012,327,1470,104456,1,0,22223,7,22223,1294,117,1098,99,15,782,0,0,0,0,0,15,3
"5990013",2013,187,1036,70029,1,0,8426,4,8426,1202,115,1045,95,7,516,0,0,0,0,0,7,3
"5990013",2014,187,898,62371,0,0,8487,4,8487,1269,130,1057,95,6,407,0,0,0,0,0,6,3
"5990013",2015,187,953,60514,0,0,5388,6,5388,1412,136,1158,102,10,467,0,0,0,0,0,10,3
"5990013",2016,187,972,60162,0,0,22423,4,22423,0,0,0,0,8,460,0,0,0,0,0,8,3
"5990014",2011,705,2168,233336,3,0,34336,19,34336,0,0,0,0,28,1589,0,0,0,0,0,28,3
"5990014",2012,705,4531,239184,3,0,30397,16,30397,3154,285,2676,241,35,1799,0,0,0,0,0,35,3
"5990014",2013,690,3858,238789,0,0,73796,0,73796,0,0,0,0,37,1683,0,0,0,0,0,37,3
"5990014",2014,690,6248,229144,2,0,29463,19,29463,7457,761,6213,556,37,1632,0,48,0,0,48,133,3
"5990014",2015,690,4588,236313,1,0,7783,9,7783,2825,272,2316,205,33,1640,0,72,0,0,94,199,3
"5990014",2016,690,5402,232288,1,0,83568,12,83568,0,0,0,0,37,1243,0,0,0,0,0,37,3
"5990016",2011,485,25331,123207,5967,155431,611960,8008,767391,50890,8425,14674,2806,572,4945,74,588,24,0,686,1944,2
