"indicator","Y2017","Y2018","Scope"
"Admissions",67949.8775730091,69588.8423155108,"All HS"
"All_Physicians",4913.89228476057,5179.78098099318,"All HS"
"Emergency_room_visits",283606.901920587,298813.70755651,"All HS"
"Hospitals",9.87077036140096,10.1148754942702,"All HS"
"Other_outpatient_visits_non_ER",1311558.29041992,1395091.86661358,"All HS"
"Physicians_and_dentists_FT",285.85726639627,304.165507282615,"All HS"
"Total_hospital_beds",1646.25372358286,1680.95993062545,"All HS"
"Total_outpatient_visits",1595057.23600122,1693696.55075623,"All HS"
"Total_personnel_FT",9039.11470930497,9441.64555334882,"All HS"
"Admissions",142570.991513688,143296.969822202,"HMA"
"All_Physicians",11496.581613362,11924.7104198742,"HMA"
"Emergency_room_visits",585126.655021444,603842.78075118,"HMA"
"Hospitals",13.1804239039486,13.2821204655052,"HMA"
"Other_outpatient_visits_non_ER",2148135.49233861,2224352.50415234,"HMA"
"Physicians_and_dentists_FT",495.60127618152,511.567271759375,"HMA"
"Total_hospital_beds",2969.40809958556,2978.44846781401,"HMA"
"Total_outpatient_visits",2733205.6385421,2828103.28151679,"HMA"
"Total_personnel_FT",17010.486900851,17371.666097449,"HMA"
"Admissions",186262.227277337,191642.010221955,"Top 100"
"All_Physicians",14041.570413003,14904.5996296056,"Top 100"
"Emergency_room_visits",772748.714066874,817958.026451211,"Top 100"
"Hospitals",22.6572610643107,23.0408517187436,"Top 100"
"Other_outpatient_visits_non_ER",2855838.30905274,3060057.53974793,"Top 100"
"Physicians_and_dentists_FT",582.557006841653,603.569200740156,"Top 100"
"Total_hospital_beds",4150.64415477324,4240.94305548054,"Top 100"
"Total_outpatient_visits",3627929.14736307,3876821.31110752,"Top 100"
"Total_personnel_FT",21914.6546791624,22809.4109797528,"Top 100"
"Admissions",191002.555298522,196110.523618252,"Top 100 + VA"
"All_Physicians",14259.7146845652,15095.7511885609,"Top 100 + VA"
"Emergency_room_visits",786867.532342611,831202.816221846,"Top 100 + VA"
"Hospitals",23.6853497696218,24.0120911681074,"Top 100 + VA"
"Other_outpatient_visits_non_ER",3660217.0790621,3880580.36596348,"Top 100 + VA"
"Physicians_and_dentists_FT",803.706313058239,836.475451322145,"Top 100 + VA"
"Total_hospital_beds",4438.64060005854,4516.30684366776,"Top 100 + VA"
"Total_outpatient_visits",4446953.99415588,4711570.85746586,"Top 100 + VA"
"Total_personnel_FT",24543.9558168594,25440.1982255616,"Top 100 + VA"
"Admissions",207805.957741049,214004.814891019,"HMAinTop100"
"All_Physicians",16553.6989277461,17487.3881966069,"HMAinTop100"
"Emergency_room_visits",864475.916464215,913728.153119184,"HMAinTop100"
"Hospitals",19.0185734583022,19.6091602639094,"HMAinTop100"
"Other_outpatient_visits_non_ER",3107384.0333836,3311702.2610822,"HMAinTop100"
"Physicians_and_dentists_FT",688.843982988041,708.375068407389,"HMAinTop100"
"Total_hospital_beds",4285.74590577529,4392.44913760992,"HMAinTop100"
"Total_outpatient_visits",3971418.93807245,4224668.75934931,"HMAinTop100"
"Total_personnel_FT",23738.4854271314,24661.1423699685,"HMAinTop100"
