"indicator","Y2017","Y2018","Scope"
"Admissions",28758057.0284622,29273989.5853009,"All HS"
"All_Physicians",2079066.43200488,2178029.9334068,"All HS"
"Emergency_room_visits",119998667.987275,125655836.396218,"All HS"
"Hospitals",4178.17257223399,4255.85298435678,"All HS"
"Other_outpatient_visits_non_ER",554682389.513198,586284060.171802,"All HS"
"Physicians_and_dentists_FT",120889.189877705,127815.046086951,"All HS"
"Total_hospital_beds",696934.144774001,707394.720489727,"All HS"
"Total_outpatient_visits",674635966.024823,711853832.257818,"All HS"
"Total_personnel_FT",3824416.92726445,3970133.2888133,"All HS"
"Admissions",14114528.1598549,14186400.0123972,"HMA"
"All_Physicians",1138161.57972284,1180546.33156755,"HMA"
"Emergency_room_visits",57927538.8471228,59780435.2943667,"HMA"
"Hospitals",1304.8619664909,1314.929926085,"HMA"
"Other_outpatient_visits_non_ER",212665413.741522,220210897.911082,"HMA"
"Physicians_and_dentists_FT",49064.5263419706,50645.1599041784,"HMA"
"Total_hospital_beds",293971.401858973,294866.398313592,"HMA"
"Total_outpatient_visits",270587358.215669,279982224.870161,"HMA"
"Total_personnel_FT",1684038.20318423,1719794.94364744,"HMA"
"Admissions",19318576.7943112,20546974.06701,"Top 100"
"All_Physicians",1454725.0577659,1595648.23111751,"Top 100"
"Emergency_room_visits",79876246.7355935,87290496.9798437,"Top 100"
"Hospitals",2348.67529994922,2468.45843913722,"Top 100"
"Other_outpatient_visits_non_ER",296127389.673916,328029852.064299,"Top 100"
"Physicians_and_dentists_FT",60362.758037527,64622.112835486,"Top 100"
"Total_hospital_beds",430093.857657957,454103.893872578,"Top 100"
"Total_outpatient_visits",375933351.355802,415181557.44413,"Top 100"
"Total_personnel_FT",2272113.39988669,2444393.61923325,"Top 100"
"Admissions",20002791.1860086,21223876.0708722,"Top 100 + VA"
"All_Physicians",1492174.68040898,1632062.89538728,"Top 100 + VA"
"Emergency_room_visits",82138808.7670235,89558223.290236,"Top 100 + VA"
"Hospitals",2479.71985823273,2597.58512681575,"Top 100 + VA"
"Other_outpatient_visits_non_ER",383300158.605625,419999649.722127,"Top 100 + VA"
"Physicians_and_dentists_FT",84215.5289419054,90597.6908111238,"Top 100 + VA"
"Total_hospital_beds",464547.42195721,488342.859884377,"Top 100 + VA"
"Total_outpatient_visits",465421751.101436,509526929.167152,"Top 100 + VA"
"Total_personnel_FT",2571095.76385908,2754405.91209489,"Top 100 + VA"
"Admissions",12799497.2376135,13662325.8633845,"HMAinTop100"
"All_Physicians",1017014.94413662,1112569.57446149,"HMAinTop100"
"Emergency_room_visits",53078238.9108738,58082168.3481559,"HMAinTop100"
"Hospitals",1170.35202105977,1250.32151961091,"HMAinTop100"
"Other_outpatient_visits_non_ER",191473079.987566,211579213.284242,"HMAinTop100"
"Physicians_and_dentists_FT",42459.1770084635,45268.390885796,"HMAinTop100"
"Total_hospital_beds",263602.771345323,279875.143602056,"HMAinTop100"
"Total_outpatient_visits",244522264.77213,269605881.147144,"HMAinTop100"
"Total_personnel_FT",1461514.43114568,1573520.40750548,"HMAinTop100"
