"indicator","Y2017","Y2018","Scope"
"Admissions",28758057.0284622,29273989.5853009,"All HS"
"All_Physicians",2079066.43200488,2178029.9334068,"All HS"
"Emergency_room_visits",119998667.987275,125655836.396218,"All HS"
"Hospitals",4178.17257223399,4255.85298435678,"All HS"
"Other_outpatient_visits_non_ER",554682389.513198,586284060.171802,"All HS"
"Physicians_and_dentists_FT",120889.189877705,127815.046086951,"All HS"
"Total_hospital_beds",696934.144774001,707394.720489727,"All HS"
"Total_outpatient_visits",674635966.024823,711853832.257818,"All HS"
"Total_personnel_FT",3824416.92726445,3970133.2888133,"All HS"
"Admissions",14114528.1598549,14186400.0123972,"HMA"
"All_Physicians",1138161.57972284,1180546.33156755,"HMA"
"Emergency_room_visits",57927538.8471228,59780435.2943667,"HMA"
"Hospitals",1304.8619664909,1314.929926085,"HMA"
"Other_outpatient_visits_non_ER",212665413.741522,220210897.911082,"HMA"
"Physicians_and_dentists_FT",49064.5263419706,50645.1599041784,"HMA"
"Total_hospital_beds",293971.401858973,294866.398313592,"HMA"
"Total_outpatient_visits",270587358.215669,279982224.870161,"HMA"
"Total_personnel_FT",1684038.20318423,1719794.94364744,"HMA"
"Admissions",19413932.2379304,20611552.5601446,"NPR Top 100"
"All_Physicians",1476273.90415536,1619031.84757521,"NPR Top 100"
"Emergency_room_visits",79686389.0672573,86855278.2111943,"NPR Top 100"
"Hospitals",2365.17195889228,2484.46624145082,"NPR Top 100"
"Other_outpatient_visits_non_ER",292090353.150053,322494522.500277,"NPR Top 100"
"Physicians_and_dentists_FT",62081.0381014696,66281.7435618806,"NPR Top 100"
"Total_hospital_beds",431269.829960293,454285.218284702,"NPR Top 100"
"Total_outpatient_visits",371711575.083842,409222561.854715,"NPR Top 100"
"Total_personnel_FT",2277125.63003208,2444299.00170588,"NPR Top 100"
"Admissions",20098668.4741965,21289596.4434351,"NPR Top 100 + VA"
"All_Physicians",1513728.47449357,1655456.75785008,"NPR Top 100 + VA"
"Emergency_room_visits",81951717.1646468,89129394.1088287,"NPR Top 100 + VA"
"Hospitals",2496.26507617711,2613.68156404039,"NPR Top 100 + VA"
"Other_outpatient_visits_non_ER",379330183.212477,414616233.843702,"NPR Top 100 + VA"
"Physicians_and_dentists_FT",85925.525635083,92240.7381524295,"NPR Top 100 + VA"
"Total_hospital_beds",465751.284434491,488584.20049865,"NPR Top 100 + VA"
"Total_outpatient_visits",461264371.696231,503714319.461827,"NPR Top 100 + VA"
"Total_personnel_FT",2576190.43119774,2754529.76910715,"NPR Top 100 + VA"
"Admissions",13064115.9456812,13960882.6681231,"HMA in NPR Top 100"
"All_Physicians",1046505.94015389,1148279.17579417,"HMA in NPR Top 100"
"Emergency_room_visits",54269690.983928,59482038.9219935,"HMA in NPR Top 100"
"Hospitals",1201.78290404048,1287.61048809514,"HMA in NPR Top 100"
"Other_outpatient_visits_non_ER",193297036.006718,213592913.02892,"HMA in NPR Top 100"
"Physicians_and_dentists_FT",43350.703484471,46228.6019903894,"HMA in NPR Top 100"
"Total_hospital_beds",269382.324335894,286348.868338272,"HMA in NPR Top 100"
"Total_outpatient_visits",247544257.857569,273032543.282148,"HMA in NPR Top 100"
"Total_personnel_FT",1495694.53428978,1612104.53552148,"HMA in NPR Top 100"
