"a_Name","actual","fit","resid","mad","mape","p"
"OU Medical System",267656000,267655999.999779,-0.000220626592636108,10550386.0031551,0.0312077952327105,0.968792204767289
"OU Medical System",278877000,300350015.122032,21473015.1220323,10550386.0031551,0.0312077952327105,0.968792204767289
"OU Medical System",323001000,314387218.08716,-8613781.91283947,10550386.0031551,0.0312077952327105,0.968792204767289
"OU Medical System",352745000.000001,329115640.394445,-23629359.6055552,10550386.0031551,0.0312077952327105,0.968792204767289
"OU Medical System",335392000,344570972.802579,9178972.80257827,10550386.0031551,0.0312077952327105,0.968792204767289
"OU Medical System",372711000,360790831.040457,-11920168.9595426,10550386.0031551,0.0312077952327105,0.968792204767289
"OU Medical System",380646000,377814863.907773,-2831136.09222716,10550386.0031551,0.0312077952327105,0.968792204767289
"OU Medical System",397187000.000001,395684867.682775,-1502132.3172254,10550386.0031551,0.0312077952327105,0.968792204767289
"OU Medical System",398640000,414444907.216175,15804907.2161751,10550386.0031551,0.0312077952327105,0.968792204767289
"Michigan Medicine",2310800000,2310800000.00076,0.000763416290283203,66300206.8616053,0.0197272014802515,0.980272798519748
"Michigan Medicine",2411100000,2359964566.18102,-51135433.8189869,66300206.8616053,0.0197272014802515,0.980272798519748
"Michigan Medicine",2601800000,2575158565.95218,-26641434.047823,66300206.8616053,0.0197272014802515,0.980272798519748
"Michigan Medicine",2786100000,2810966751.86232,24866751.8623281,66300206.8616053,0.0197272014802515,0.980272798519748
"Michigan Medicine",3001300000,3069455209.20972,68155209.2097259,66300206.8616053,0.0197272014802515,0.980272798519748
"Michigan Medicine",3264832000,3352905959.58988,88073959.5898786,66300206.8616053,0.0197272014802515,0.980272798519748
"Michigan Medicine",3587347000.00001,3663840429.17066,76493429.1706595,66300206.8616053,0.0197272014802515,0.980272798519748
"Michigan Medicine",4200080999.99999,4005045562.80732,-195035437.192677,66300206.8616053,0.0197272014802515,0.980272798519748
"Acadia Healthcare Company, Inc. (TN)",216498000,216498000.000003,3.06963920593262e-06,224323706.411951,0.109067808394996,0.890932191605004
"Acadia Healthcare Company, Inc. (TN)",407461000,461887267.707326,54426267.7073267,224323706.411951,0.109067808394996,0.890932191605004
"Acadia Healthcare Company, Inc. (TN)",713407999.999999,684626893.906661,-28781106.0933385,224323706.411951,0.109067808394996,0.890932191605004
"Acadia Healthcare Company, Inc. (TN)",1004601000,1022688739.05431,18087739.0543139,224323706.411951,0.109067808394996,0.890932191605004
"Acadia Healthcare Company, Inc. (TN)",1794492000,1539823893.19653,-254668106.803466,224323706.411951,0.109067808394996,0.890932191605004
"Acadia Healthcare Company, Inc. (TN)",2810914000,2337246488.78759,-473667511.212407,224323706.411951,0.109067808394996,0.890932191605004
"Acadia Healthcare Company, Inc. (TN)",2836316000,3576951214.0128,740635214.012801,224323706.411951,0.109067808394996,0.890932191605004
"Adena Health System (OH)",345439044.000001,345439044.000253,0.000252783298492432,5297078.71329749,0.0125281615280196,0.98747183847198
"Adena Health System (OH)",380221489.000001,384774484.807983,4552995.80798221,5297078.71329749,0.0125281615280196,0.98747183847198
"Adena Health System (OH)",400904350,398233157.470314,-2671192.52968621,5297078.71329749,0.0125281615280196,0.98747183847198
