"a_Name","actual","fit","resid","mad","mape","p"
"OU Medical System",735579000,735578999.999806,-0.000193357467651367,13389263.6292411,0.0148722266611704,0.98512777333883
"OU Medical System",764801000.000001,786374167.471247,21573167.4712455,13389263.6292411,0.0148722266611704,0.98512777333883
"OU Medical System",840954000.000001,819337105.274776,-21616894.7252245,13389263.6292411,0.0148722266611704,0.98512777333883
"OU Medical System",848644000.000001,853752049.330678,5108049.33067691,13389263.6292411,0.0148722266611704,0.98512777333883
"OU Medical System",882456000.000001,889685920.993846,7229920.99384499,13389263.6292411,0.0148722266611704,0.98512777333883
"OU Medical System",946615000,927208857.296685,-19406142.7033154,13389263.6292411,0.0148722266611704,0.98512777333883
"OU Medical System",984048000.000001,966394371.588176,-17653628.4118249,13389263.6292411,0.0148722266611704,0.98512777333883
"OU Medical System",1009411000,1007319522.46876,-2091477.53123772,13389263.6292411,0.0148722266611704,0.98512777333883
"OU Medical System",1024241000,1050065091.49561,25824091.495607,13389263.6292411,0.0148722266611704,0.98512777333883
"Michigan Medicine",2416807425.19553,2416807425.19583,0.000292301177978516,69344579.0703827,0.0197280393863801,0.98027196061362
"Michigan Medicine",2521708664.91645,2468224227.53502,-53484437.3814349,69344579.0703827,0.0197280393863801,0.98027196061362
"Michigan Medicine",2721156984.10668,2693294380.9306,-27862603.1760798,69344579.0703827,0.0197280393863801,0.98027196061362
"Michigan Medicine",2913911704.75041,2939923069.99182,26011365.241406,69344579.0703827,0.0197280393863801,0.98027196061362
"Michigan Medicine",3138983955.87647,3210270675.08482,71286719.2083564,69344579.0703827,0.0197280393863801,0.98027196061362
"Michigan Medicine",3414605426.52586,3506723314.92076,92117888.3949018,69344579.0703827,0.0197280393863801,0.98027196061362
"Michigan Medicine",3751915728.90466,3831917372.72462,80001643.8199587,69344579.0703827,0.0197280393863801,0.98027196061362
"Michigan Medicine",4392758761.99699,4188766786.65636,-203991975.340631,69344579.0703827,0.0197280393863801,0.98027196061362
"Acadia Healthcare Company, Inc. (TN)",220072000,220071999.999991,-8.58306884765625e-06,228403419.637227,0.113261033113517,0.886738966886483
"Acadia Healthcare Company, Inc. (TN)",395034999.999999,454556241.951008,59521241.9510087,228403419.637227,0.113261033113517,0.886738966886483
