"a_Name","Year","Total_Revenue","NPR","HMA_System_Name","HMA_Member"
"OU Medical System","2009",735579000,267656000,"OU Medical System","Y"
"Michigan Medicine","2010",2416807425.19553,2310800000,"Michigan Medicine","Y"
"OU Medical System","2010",764801000,278877000,"OU Medical System","Y"
"Abington Health (PA)","2011",795928949,729989111,NA,NA
"Acadia Healthcare Company, Inc. (TN)","2011",220072000,216498000,NA,NA
"Adena Health System (OH)","2011",350233565,345439044,NA,NA
"Adventist Health System (FL)","2011",7037474000,6663085000,"Adventist Health System (FL)","Y"
"Adventist Health West (CA)","2011",2653309000,2485076000,"Adventist Health (CA)","Y"
"Adventist HealthCare (MD)","2011",755597037,721076997,NA,NA
"Advocate Aurora Health","2011",8350277000,7425252000,"Advocate Aurora Health","Y"
"Agnesian HealthCare (WI)","2011",374316000,355275000,NA,NA
"Akron General Health System (OH)","2011",555293000,543608000,NA,NA
"Albany Medical Center Hospital (NY)","2011",874404000,780936000,NA,NA
"Allegiance Health Management (LA)","2011",425096496,387893504,NA,NA
"Allina Health (MN)","2011",3098239000,2985389000,NA,NA
"Altru Health System (ND)","2011",413294306,385394008,NA,NA
"AnMed Health (SC)","2011",379199202,375888631,NA,NA
"Anne Arundel Health System (MD)","2011",559595000,477982000,NA,NA
"Antelope Valley Healthcare District (CA)","2011",361141748,353958572,NA,NA
"Appalachian Regional Healthcare, Inc. (KY)","2011",515808431,487579842,NA,NA
"Archbold Medical Center (GA)","2011",303391336,293030475,NA,NA
"Asante Health System (OR)","2011",487681000,478280000,NA,NA
"Ascension Health (MO)","2011",16507189000,13573032000,"Ascension","Y"
"Athens Regional Health Services (GA)","2011",417133675,364774416,NA,NA
"AtlantiCare (NJ)","2011",636883000,615981000,NA,NA
"Atrium Health System (OH)","2011",235748000,239070000,NA,NA
"Augusta Healthcare (VA)","2011",262546228,259703080,NA,NA
"Banner Health (AZ)","2011",4510242000,4355818000,"Banner Health","Y"
"Baptist Health (AR)","2011",852042000,769745000,NA,NA
"Baptist Health Care Corporation (FL)","2011",623282000,461015000,NA,NA
"Baptist Health South Florida","2011",2249475420,1979588137,"Baptist Health South Florida","Y"
"Baptist Health System, Inc. FL","2011",1111921000,1054831000,NA,NA
"Baptist Healthcare System, Inc. and Affiliates (KY)","2011",1615734000,1301026000,NA,NA
"Barnabas Health (NJ)","2011",2518099000,2257628000,NA,NA
"Baxter Regional Health System (AR)","2011",153588073,148089817,NA,NA
"Bay Health Medical Center (DE)","2011",462163961,403247039,NA,NA
"BayCare Health System (FL)","2011",2267438000,2211107000,"BayCare Health System","Y"
"Baylor Health Care System (BaylorScott & White Health) (TX)","2011",4279571000,3537042000,NA,NA
"Baystate Health System, Inc. (MA)","2011",1519803000,993804000,NA,NA
"Beacon Health System (IN)","2011",699731000,656340000,NA,NA
"Beaumont Health System (MI)","2011",2119820000,1999916000,"Beaumont Health","Y"
"Beebe Medical Center (DE)","2011",254935358,248903087,NA,NA
"Beloit Health System (WI)","2011",188086223,179208011,NA,NA
"Benefis Health System (MT)","2011",324957712,304228733,NA,NA
"Berkshire Health Systems, Inc. (MA)","2011",394997932,362497898,NA,NA
"Beth Israel Deaconess Medical Center","2011",1818003000,1461503000,"Beth Israel Deaconess Medical Center","Y"
"Bethesda Healthcare System (FL)","2011",281026038,270011731,NA,NA
"Bexar County Hospital District d/b/a University Health System (TX)","2011",1005251000,386160000,NA,NA
"BJC HealthCare (MO)","2011",3594300000,3502300000,"BJC HealthCare","Y"
"Blanchard Valley Health System (OH)","2011",201381000,243058000,NA,NA
"Blount Memorial Hospital (TN)","2011",196552012,169452018,NA,NA
"Blue Ridge Healthcare (NC)","2011",205484148,187838418,NA,NA
"Boca Raton Regional Hospital (FL)","2011",350149147,339919299,NA,NA
"Bon Secours Health System, Inc. (MD)","2011",3338597000,2912167000,"Bon Secours Health System","Y"
"Boulder Community Health (CO)","2011",286145720,261088436,NA,NA
"Bozeman Health Services (MT)","2011",193402036,179220047,NA,NA
"Bronx-Lebanon Hospital Center (NY)","2011",528042307,517097545,NA,NA
"Brookdale University Hospital and Medical Center (NY)","2011",493980000,313400000,NA,NA
"Brookhaven Health Care Services Corporation (NY)","2011",273580762,255016693,NA,NA
"Broward Health dba North Broward Hospital District (FL)","2011",1141920000,854709000,NA,NA
"Butler Health System (PA)","2011",238244827,225189880,NA,NA
"Cadence Health (IL)","2011",230413000,214023000,NA,NA
"Calvert Health System (MD)","2011",127285386,119546601,NA,NA
