"Rank","a_Name","Year","Total_hospital_beds","Admissions","Inpatient_Days","Surgical_operations_inpatient","Emergency_room_visits","Other_outpatient_visits_non_ER","Surgical_operations_outpatient","Total_outpatient_visits","Total_Medicaid_days","Total_Medicaid_discharges","Total_Medicare_days","Total_Medicare_discharges","Physicians_and_dentists_FT","Total_personnel_FT","Total_Physicians_NE","Total_Physicians_TE","Total_Physicians_TG","Total_Physicians_TC","Total_Physicians_TP","All_Physicians","Hospitals"
1,"Kaiser Foundation Hospitals (CA)",2011,6892,423230,1693238,108614,1417441,6276531,210479,7693972,237476,52470,782920,182456,3145,45226,210,3852,1442,796,7380,16825,30
1,"Kaiser Foundation Hospitals (CA)",2012,7619,418924,1747225,126404,1740438,7098078,243311,8838516,175981,38792,750086,169561,3813,51269,311,4761,2349,872,8737,20843,32
1,"Kaiser Foundation Hospitals (CA)",2013,8120,438631,1675817,118735,1889530,8044226,249572,9933755,164570,38539,753338,177977,2617,48281,327,5460,2820,950,10914,23088,34
1,"Kaiser Foundation Hospitals (CA)",2014,7764,417851,1678524,122496,1952055,7975950,256353,9928005,228314,50405,741035,167785,2026,47016,343,4856,1373,951,8270,17819,33
1,"Kaiser Foundation Hospitals (CA)",2015,7765,453429,1784569,121781,2238609,7849670,271224,10088279,267332,62141,785837,187172,3184,49156,140,4236,1955,1198,9564,20277,33
1,"Kaiser Foundation Hospitals (CA)",2016,8060,475581,1867427,119314,2255374,8852581,279272,11107955,293970,74750,860648,205663,3704,52720,153,7332,2163,188,11757,25297,37
2,"HCA (TN)",2011,35244,1647776,7863557,484116,5847403,7170036,687364,13017439,1449253,318998,3838074,710253,443,116426,24348,665,5040,1129,39158,70783,146
2,"HCA (TN)",2012,35473,1685024,8011573,478969,5980969,7514786,648909,13495755,1562482,335980,3851490,722357,570,116703,24122,907,5472,2094,37527,70692,144
2,"HCA (TN)",2013,37299,1721600,8324281,483128,6363225,7265654,720741,13628879,1623290,334202,3996256,748751,654,121298,22412,545,5287,1848,35509,66255,150
2,"HCA (TN)",2014,36960,1747182,8493558,477916,6895429,7856900,717499,14752329,1766122,364264,4073026,767979,600,123092,21133,433,7908,1885,35076,67035,146
2,"HCA (TN)",2015,37106,1801436,8851804,480414,7117662,8403791,721867,15521453,1797728,367849,4230900,783968,558,126233,22625,484,9881,3111,38759,75418,148
2,"HCA (TN)",2016,38095,1874100,9106865,479325,7442968,9150536,740893,16593504,1811011,372183,4473052,843907,696,133424,20355,378,9936,2349,37465,71179,157
3,"Ascension Health (MO)",2011,15989,712172,3822911,208674,2436771,11781712,373739,14218483,821721,120657,1829731,328904,1468,68497,21559,3145,5523,475,32745,64915,78
3,"Ascension Health (MO)",2012,18751,834304,4362234,236439,3007531,13586262,420536,16593793,892374,137354,2080049,391399,1710,80071,13489,3873,2985,638,29472,52167,103
3,"Ascension Health (MO)",2013,18755,818471,4331102,211993,3066000,13749266,385277,16815266,740072,129976,2163106,385923,1616,77535,12715,2565,3132,205,29318,49551,102
3,"Ascension Health (MO)",2014,18656,791501,4251182,204370,3086042,13221855,395297,16307897,858320,138599,2057157,356231,1831,78916,12594,2245,3617,237,29686,50210,106
3,"Ascension Health (MO)",2015,18582,830518,4356295,201825,3322169,15505921,402145,18828090,829940,153532,2135585,386487,1814,80063,12234,2436,4022,165,30728,51399,108
3,"Ascension Health (MO)",2016,19692,862505,4473923,215431,3405670,15503949,432810,18909619,956388,169647,2190089,404185,1488,80196,14819,2849,4712,526,32708,57102,111
4,"Providence St. Joseph Health (WA)",2015,9180,439388,2123697,137518,1818539,7891036,198477,9709575,514306,104324,996353,193013,390,42294,8457,2385,3271,1205,18971,34679,46
4,"Providence St. Joseph Health (WA)",2016,9407,450763,2211928,143056,1906596,8955514,279422,10862110,506357,106770,1053994,199220,450,47689,9988,2790,3737,1845,21887,40697,48
5,"Trinity Health (CHE Trinity) (MI)",2013,12108,564440,2793624,142775,2265362,11688853,244910,13954215,491707,94771,1414309,263333,1924,62144,8063,3532,4184,1129,18418,37250,64
5,"Trinity Health (CHE Trinity) (MI)",2014,12049,564326,2818654,142716,2283945,11852398,242895,14136343,544417,106576,1448781,264688,2043,63809,9774,2845,4104,1681,19025,39472,63
5,"Trinity Health (CHE Trinity) (MI)",2015,12568,601069,2978920,149831,2519496,12908361,260231,15427857,620835,121790,1528324,282167,2190,67436,7258,3908,5758,2450,20651,42215,64
5,"Trinity Health (CHE Trinity) (MI)",2016,12896,623185,2982555,154013,2563441,13862155,268394,16425596,643125,123507,1490604,289143,2396,71189,7147,3533,6214,2271,20779,42340,68
6,"Tenet Healthcare Corporation (TX)",2013,17562,786561,3681640,200118,3026197,4465165,296727,7491362,871121,185448,1741167,338752,615,61716,12499,612,4166,1167,22252,41311,69
6,"Tenet Healthcare Corporation (TX)",2014,17564,796867,3753618,205492,3151164,4491561,285227,7642725,986677,205472,1768234,344563,672,63955,14445,822,4536,287,23541,44303,71
6,"Tenet Healthcare Corporation (TX)",2015,17166,800406,3673730,209968,3162164,4723950,292509,7886114,936684,205821,1703161,337527,452,64567,14693,586,5418,994,23734,45877,72
6,"Tenet Healthcare Corporation (TX)",2016,15212,699684,3279264,181095,2687988,4139455,255734,6827443,861428,179106,1567882,309718,306,54875,10900,330,3985,428,17033,32982,61
7,"Catholic Health Initiatives (CO)",2011,7714,368242,1758969,101742,1270455,4179657,156283,5450112,348628,61330,809244,165818,819,36948,4635,1660,1469,58,8859,17500,54
7,"Catholic Health Initiatives (CO)",2012,11486,505708,2338212,149177,1891773,5130402,209141,7022176,371586,71024,1061998,206379,876,52170,11528,2667,2728,2759,20757,41315,74
7,"Catholic Health Initiatives (CO)",2013,10819,488793,2423686,129305,1882064,4915168,213940,6797232,435636,76428,1131924,214662,1207,49607,11407,2586,3013,3903,20550,42666,75
7,"Catholic Health Initiatives (CO)",2014,12275,536942,2715162,153426,2220267,5866543,236235,8086810,497689,93419,1260558,239042,1113,56010,11457,3247,3920,3848,23408,46993,94
7,"Catholic Health Initiatives (CO)",2015,12344,544942,2700478,155136,2376601,6308704,245382,8685305,521152,108041,1466672,263921,1197,60637,8250,3714,4446,6913,24245,48765,95
7,"Catholic Health Initiatives (CO)",2016,11970,528552,2643015,156208,2270419,5977857,248107,8248276,538879,102880,1337330,247489,1099,57763,7613,3458,4348,5326,23270,45114,94
8,"Community Health Systems (TN)",2011,17713,724709,3386203,243163,3313763,7290197,540552,10603960,622684,142648,1772655,338045,811,64760,9045,1084,3986,528,16073,31527,132
8,"Community Health Systems (TN)",2012,18200,734823,3409103,267917,3536523,7470314,547855,11006837,631816,139850,1803159,345173,965,67534,8738,1011,3191,777,15070,29752,133
8,"Community Health Systems (TN)",2013,26777,1034856,4806028,354869,5235730,10408996,771360,15644726,955463,198461,2554080,490619,1513,96971,10042,1408,4337,1039,17858,36197,199
8,"Community Health Systems (TN)",2014,26270,997292,4589978,327326,5802891,9656099,720088,15458990,856951,208915,2391278,468905,1336,94659,8970,1421,4677,1595,18386,36385,192
8,"Community Health Systems (TN)",2015,23010,876295,4061979,286474,5007124,9004741,630965,14011865,723198,170849,2145126,410958,955,83517,6332,1547,3590,1075,13950,27449,154
8,"Community Health Systems (TN)",2016,16757,647481,2970799,210218,3584862,7100602,495409,10685464,537348,125588,1554587,307309,801,60783,6384,884,4002,234,13136,25441,113
9,"UPMC (PA)",2011,4538,197216,1153495,91694,566836,3234174,106778,3801010,220526,35072,577548,91341,1091,28385,559,1962,1048,109,6603,11372,11
9,"UPMC (PA)",2012,4720,217676,1231495,98130,661124,3710476,130092,4371600,251422,39992,614023,100732,854,29882,1406,1083,1043,63,6480,10929,12
9,"UPMC (PA)",2013,4832,219217,1255866,75657,700626,3167422,121060,3868048,260646,41149,634546,102490,869,26275,535,1055,1132,50,7108,10749,13
9,"UPMC (PA)",2014,4749,213332,1217917,72511,684878,3161548,118040,3846426,254395,39453,602598,99954,844,25890,801,2445,1685,42,7383,13200,13
9,"UPMC (PA)",2015,4694,215546,1239692,71168,741758,3393760,123840,4135518,265249,40612,638547,106062,857,25727,864,2499,1708,28,7532,13488,14
9,"UPMC (PA)",2016,5950,272960,1493552,84296,1077671,4755792,159046,5833463,316925,51862,784081,138022,1081,32402,1093,3334,2082,335,8893,16818,22
10,"Partners Healthcare System, Inc. (MA)",2011,3261,153269,952715,48984,351857,3326110,62787,3677967,126231,20193,416227,61699,3315,30838,1849,4082,1396,471,8908,20021,12
10,"Partners Healthcare System, Inc. (MA)",2012,3256,152234,945599,47946,349839,3359603,65354,3709442,125392,20014,425976,61915,3396,31472,1622,4255,1915,410,9058,20656,12
10,"Partners Healthcare System, Inc. (MA)",2013,3318,149104,952558,48297,359387,3355933,66551,3715320,149394,24732,425239,60305,3555,32595,1306,4455,880,454,7924,18574,12
10,"Partners Healthcare System, Inc. (MA)",2014,3377,152247,978441,48067,388392,3600444,69462,3988836,156446,24662,440517,64192,3616,33346,1502,4490,891,432,8401,19332,13
10,"Partners Healthcare System, Inc. (MA)",2015,3142,149828,936142,48025,397908,4089706,64970,4487614,145198,26149,436030,65611,3540,33245,1530,4641,961,522,8683,19877,12
10,"Partners Healthcare System, Inc. (MA)",2016,3408,164180,997810,51062,481022,4754061,92414,5235083,153520,27275,459274,70787,3792,36612,1499,5654,1876,523,10366,23710,14
11,"Dignity Health (CA)",2011,8028,408120,1947312,107575,1333105,3426833,142956,4759938,551066,105167,814582,160417,592,36910,4926,272,1819,1577,9378,18564,37
11,"Dignity Health (CA)",2012,7846,389378,1853530,102199,1433527,3293163,136393,4726690,491555,94615,787732,152978,532,36470,6700,273,2561,1405,12250,23721,37
11,"Dignity Health (CA)",2013,7558,376049,1755445,96768,1436837,3425296,130240,4862133,507731,94546,734545,150957,413,32985,8083,238,2672,2193,13918,27517,36
11,"Dignity Health (CA)",2014,7874,365144,1738177,101226,1615026,3245165,125159,4860191,569925,108018,713335,142606,362,34678,7351,357,4182,2885,15969,31106,36
11,"Dignity Health (CA)",2015,7780,378819,1800070,95464,1666317,3327190,138524,4993507,607996,121896,750240,150546,634,36398,7634,395,2576,2178,14503,27920,35
11,"Dignity Health (CA)",2016,7895,384322,1854919,93288,1677278,3555288,141425,5232566,604715,116475,806495,152470,523,35931,6868,410,4206,1569,13053,26629,35
12,"Sutter Health (CA)",2011,4920,205819,1070268,44643,780373,2876754,77570,3657127,227933,39917,498459,91574,403,17972,630,9,311,110,2102,3565,24
12,"Sutter Health (CA)",2012,4890,203544,1031164,57669,776568,1641495,70141,2418063,260667,47340,446146,82824,20,17215,3238,56,2387,520,8196,14417,24
12,"Sutter Health (CA)",2013,4498,195301,944186,50125,772549,1622439,81581,2394988,246217,51223,400810,80030,33,16435,4024,7,2359,159,9928,16510,24
12,"Sutter Health (CA)",2014,4013,190197,898715,47603,817423,1680177,78425,2497600,222738,48079,380908,76540,14,14345,4191,13,2484,388,9837,16927,24
12,"Sutter Health (CA)",2015,4177,200879,959929,50075,911698,1837034,90006,2748732,248287,53115,418996,80635,51,16612,4358,13,5266,498,10135,20321,27
